AIRLINE_CODE,NAME,CARRIER_CATEGORY,CARRIER_IATA_CODE,CARRIER_ICAO_CODE,LOGO,CLASSIFICATION
RG,Varig,I,RG,VRG,RG.gif,1
RGN,Cygnus Air,C,,RGN,,4
RH,Robin Hood Aviation,A,RH,,,4
RI,Mandala Airlines,A,RI,MDL,RI.gif,4
RIG,Riga Airlines,I,,RIG,,4
RIN,Airline Transport Incorporation,I,,RIN,,4
RJ,Royal Jordanian,I,RJ,RJA,RJ.gif,2
RK,Region-Avia,A,RK,,,3
RKA,Polar Airlines,A,,RKA,,4
RKM,RAK Airways,I,RT,RKM,,4
RL,Air Charter,C,RL,,,4
RL*,Royal Phnom Penh Airways,A,RL,,,3
RLK,Air Nelson,A,,RLK,,4
RLR,Business Airfreight,C,,RLR,,4
RM,Regional Air,A,RM,MLV,,4
RN,Air Horizons,B,RN,EUH,,3
RN*,Paradise Air,A,RN,,,4
RO,Tarom,I,RO,ROT,RO.gif,3
RP,Chautauqua Airlines,I,RP,CHQ,RP.gif,4
RPX,BAC Express Airlines,A,,RPX,,4
RQ,Kam Air,I,RQ,KMR,,3
RR,Royal Air Force,A,RR,RFR,RR.gif,4
RS,Aerofreight Airlines,I,RS,,,4
RSE,SNAS Aviation,I,,RSE,,4
RSO,Aero Asia International,I,E4,RSO,E4.gif,3
RT,Airlines of South Australia,A,RT,LRT,,3
RT*,Rutges Cargo,C,RT,,,4
RTM,Trans AM,C,7T,RTM,,4
RTQ,Air Turquoise,I,RT,RTQ,,4
RU,AirBridge Cargo,C,RU,ABW,,3
RV,Caspian Airlines,I,RV,CPN,RV.gif,3
RVP,Aero Vip,I,,RVP,,4
RW,Republic Airline,A,,,,4
RX,Regent Airways,I,RX,,,4
RY,European Executive Express,A,RY,EXC,,3
RZ,SANSA,I,RZ,LRS,,3
RZA,Royal Zimbabwe Airlines,A,,RZA,,4
S0,Slok Air,I,S0,OKS,,4
S2,JetLite,I,S2,RSH,S2.gif,3
S3,SBA Airlines,A,S3,BBR,,3
S4,SATA International,I,S4,RZO,S4.gif,3
S5,Shuttle America,I,S5,TCF,S5.gif,4
S6,Salmon Air,A,S6,,,3
S7,S7 Airlines,I,S7,SBI,S7.gif,2
S8,Charlan Air,A,S8,CAH,,3
S9,East African Safari Air,I,S9,HAS,,3
SA,South African Airways,I,SA,SAA,SA.gif,2
SB,Air Caledonie International,I,SB,ACI,,3
SC,Shandong Airlines,A,SC,CDG,SC.gif,2
SCY,Air Scandic,I,,SCY,,4
SD,Sudan Airways,I,SD,SUD,SD.gif,3
SDY,Island Express,I,,SDY,,4
SE,XL Airways France,I,SE,,,3
SEQ,Sky Eyes,I,I6,SEQ,,4
SF,Tassili Airlines,A,SF,DTH,,4
SFR,Swiss Federal Railways,K,,,,4
SG,SpiceJet,I,SG,MOD,SG.gif,4
SGG,Senegal Airlines,A,DN,SGG,,4
SGX,Saga Airlines,I,,SGX,,4
SH,Sharp Airlines,I,SH,SHA,,3
SHA,Lynx Aviation,A,L4,SSX,,4
SHE,Shell Aircraft,I,,SHE,,4
SHY,Sky Airlines,A,ZY,SHY,SHY.gif,4
SI,Blue Islands,I,SI,BCI,,4
SIO,Sirio,I,,SIO,,4
SIR,Salair,C,,SIR,,4
SJ,Sriwijaya Air,I,SJ,VND,,4
SK,SAS - Scandinavian Airlines,I,SK,SAS,SK.gif,1
SKG,Sky Gabon,C,GV,SKG,,4
SKK,"Skylink Aviation, Inc.",I,,SKK,,4
SKL,Skycharter,C,,SKL,,4
SKQ,"Labcorp, Inc.",C,,SKQ,,4
SL,Rio-Sul,I,SL,RSL,SL.gif,4
SLC,SALSA d Haiti,I,SO,SLC,,4
SM,Spirit of Manila Airlines,I,SM,,,3
SMJ,Avient Aviation,C,,SMJ,,4
SMR,Somon Air,I,4J,SMR,,4
SN,Brussels Airlines,I,SN,DAT,SN.gif,1
SNA,Senator Aviation Charter,I,,SNA,,4
SNC,Air Cargo Carriers,C,2Q,SNC,,4
SNJ,Solaseed Air,I,LQ,SNJ,6J.gif,3
SNK,Southeast Airlines,C,,SNK,,4
SNM,Servizi Aerei,I,,SNM,,4
SO,Superior Aviation,I,SO,,,4
SOO,"Southern Air, Inc.",C,9S,SOO,,4
SP,SATA Air Acores,I,SP,SAT,SP.gif,3
SPR,Eastern Flying Service,C,,SPR,,4
SPW,Speedwings,I,,SPW,,4
SQ,Singapore Airlines,I,SQ,SIA,SQ.gif,1
SQC,Singapore Airlines Cargo,C,,SQC,SQC.gif,4
SR,Swissair,A,SR,,SR.gif,4
SS,CORSAIR,I,SS,CRL,SS.gif,3
SSG,Slovak Government Flying Service,J,,SSG,,4
SSQ,Sunstate Airlines,A,,SSQ,,4
ST,Germania,A,ST,GMI,,4
STP,Senegal Air Transport,J,,STP,,4
SU,Aeroflot,I,SU,AFL,SU.gif,2
SUA,Silesia Air,I,,SUA,,4
SUB,Suburban Air Freight,I,,SUB,,4
SV,Saudia,I,SV,SVA,SV.gif,1
SVW,Silver Arrows,I,,SVW,,4
SW,Air Namibia,I,SW,NMB,SW.gif,3
SWG,Sunwing Airlines,I,WG,SWG,,3
SWQ,Swift Air,I,,SWQ,SWQ.gif,4
SWU,Swiss European,A,,SWU,,4
SWZ,Servair Private Charter,I,,SWZ,,4
SX,Sky Work Airlines,I,SX,SKB,,4
SXR,Sky Express,I,XW,SXR,,2
SY,Sun Country Airlines,I,SY,SCX,SY.gif,2
SZ,Air Southwest,A,SZ,WOW,WOW.gif,3
T0,TACA Peru,I,T0,TPU,TPU.gif,4
T2,Thai Air Cargo,C,T2,,,3
T2*,Nakina Air,A,T2,,,3
T3,Eastern Airways,A,T3,EZE,T3.gif,3
T4,Trip Linhas Aereas,I,T4,TIB,,4
T5,Turkmenistan,I,T5,TUA,,3
T6,1Time,A,T6,RNX,,3
T7,Twin Jet,A,T7,,,3
T8,STA,I,T8,,T8.gif,3
T9,TMA,A,T9,TRZ,,3
TA,TACA,I,TA,TAI,TA.gif,2
TAG,TAG Aviation USA,A,,TAG,TAG.gif,4
TAH,Air Moorea,I,,TAH,,4
TAN,ZanAir,A,B4,TAN,,3
TAS,Lotus Airlines,I,,TAS,TAS.gif,4
TC,Air Tanzania,I,TC,ATC,TC.gif,3
TCX,Thomas Cook Airlines UK,J,MT,TCX,TCX.gif,4
TD,Atlantis European Airways,A,TD,,,4
TDR,Trade Air,J,,TDR,,4
TE,FlyLAL,I,TE,LIL,TE.gif,3
TF,Malmo Aviation,A,TF,SCW,TF.gif,3
TG,Thai Airways International,I,TG,THA,TG.gif,2
TGN,Trigana Air,A,,TGN,,4
TGO,Transport Canada,I,,TGO,,4
TH,Transmile Air Services,C,TH,,TH.gif,3
TH*,BA Connect,A,TH,BRT,TH@.gif,4
TI,TOL Airways,C,TI,TOL,,4
TIT,Titan Aircompany,A,,TIT,,4
TJ,Tradewind,I,TJ,GPD,,3
TK,Turkish Airlines,I,TK,THY,TK.gif,1
TL,Trans-Mediterranean Airways,C,TL,TMA,,3
TL*,Airnorth Regional,I,TL,ANO,,3
TLA,Translift Airways,A,,TLA,,4
TLB,Atlantique Air Assistance,A,,TLB,,4
TLE,AIR TOULOUSE,B,,TLE,,4
TLG,InvestAvia,A,,TLG,,3
TLX,"Telesis Transair, Inc.",C,,TLX,,4
TM,LAM,I,TM,LAM,TM.gif,3
TMG,Tri-MG Intra Asia,A,GY,TMG,,4
TN,Air Tahiti Nui,I,TN,THT,TN.gif,3
TNT,Trans North Turbo Air,I,,TNT,,4
TNU,TransNusa Air Services,I,M8,TNU,,4
TO,Transavia France,A,TO,,,3
TOM,Thomson,A,BY,TOM,TOM.gif,3
TOS,Tropic Air,A,,TOS,,4
TP,TAP-Air Portugal,I,TP,TAP,TP.gif,1
TQ,Tandem Aero,I,TQ,TDM,,4
TR,Tiger Airways,I,TR,TGW,TR.gif,3
TRA,Turks Air,C,6T,,,4
TRK,Turkuaz Airlines,B,,TRK,,4
TS,Air Transat,I,TS,TSC,TS.gif,3
TST,Trast,B,,TST,,4
TT,Tiger Airways Australia,A,TT,TGW,TT.jpg,4
TU,Tunis Air,I,TU,TAR,TU.gif,2
TUX,Tulpar Air Service,C,2T,TUX,,4
TUY,LTA,I,LD,TUY,,4
TV,Tibet Airlines,I,TV,TBA,,4
TVQ,Travel Service Slovakia,I,6D,TVQ,,4
TVR,Tavrey Airlines,I,T6,TVR,,4
TWB,T'Way Airlines,A,TW,TWB,,4
TWE,Transwede,I,,TWE,,4
TWG,Air-Taxi Europe,I,TZ,TWG,,4
TWJ,Twinjet Aircraft Sales,I,,TWJ,,4
TWN,Avialeasing,C,EC,TWN,,3
TX,Air Caraibes,I,TX,,,2
TY,Air Caledonie,I,TY,TPC,TY.gif,3
TYA,Nordstar,I,Y7,TYA,,4
TYJ,Tyrolean Jet Service,A,,TYJ,,4
TYW,Tyrol Air Ambulance,I,,TYW,,4
TZ,ATA,I,TZ,AMT,TZ.gif,2
U2,easyJet,A,U2,EZY,U2.gif,1
U3,Avies,A,U3,AIA,,3
U4,Progress Multitrade,I,U4,PMT,,3
U5,USA 3000 Airlines,I,U5,GWY,,2
U6,Ural Airlines,I,U6,SVR,,3
U7,Air Uganda,I,U7,UGA,,3
U8,Armavia,I,U8,,,3
U9,Tatarstan,I,U9,,,3
UA,United Airlines,I,UA,UAL,UA1.gif,1
UB,Myanma Airways,I,UB,UBA,,3
UC,Lan Chile Cargo,C,UC,LCO,UC.gif,4
UD,Hex'Air,A,UD,HER,UD.gif,3
UE,NASAIR,I,UE,,,4
UF,Ukrainian Mediterranean Airlines,I,UF,UKM,,3
UG,TunisAir Express,I,UG,SEN,,3
UH,Eurasia Aircompany,I,UH,EUS,UH.gif,4
UH*,US Helicopter,A,UH,,,4
UI,Eurocypria Airlines,I,UI,ECA,UI.gif,3
UJ,Almasria,A,UJ,LMU,,4
UJT,Universal Jet Aviation,C,,UJT,,4
UK,KLM uk,I,UK,UKA,UK.gif,4
UKZ,Zoom Airlines Limited,I,ZX,UKZ,,2
UL,Sri Lankan Airlines,I,UL,ALK,UL.gif,2
UM,Air Zimbabwe,I,UM,AZW,UM.gif,3
UN,Transaero,I,UN,TSO,UN.gif,3
UNF,Union Flights,I,,UNF,,4
UO,Hong Kong Express,I,UO,HHK,,4
UP,Bahamasair,I,UP,BHS,UP.gif,3
UQ,SkyJet Aviation,A,UQ,SJU,,3
UR,UTAIR-Express,I,UR,,,4
US,US Airways,I,US,USA,US.gif,1
USC,"AirNet Systems, Inc.",C,,USC,,3
UT,UTair,I,UT,UTA,,4
UU,Air Austral,I,UU,REU,UU.gif,3
UV,Helicopteros del Sureste,A,UV,HSE,,3
UW,Universal Airlines,I,UW,UVG,UW.gif,3
UX,Air Europa,I,UX,AEA,UX.gif,2
UZ,Buraq Air,I,UZ,BRQ,UZ.gif,3
V0,CONVIASA,I,V0,VCV,,4
V2,Vision Airlines,A,V2,RBY,,3
V3,Carpatair,A,V3,KRP,V3.gif,3
V4,Vensecar International,C,V4,VEC,,3
V4*,Valair,A,V4,,,4
V5,DanubeWings,I,V5,VPA,,4
V7,Air Senegal International,I,V7,SNG,V7.gif,3
V8,Atran-Aviatrans Cargo,J,V8,VAS,,4
V8*,Iliamna Air Taxi,A,V8,IAR,,3
V9,Star1 Airlines,I,V9,HCW,,3
VA,V Australia,A,VA,VAU,,3
VAL,Vincent Aviation,A,BF,VIN,,4
VAP,Phuket Airlines,I,9R,VAP,9R.gif,3
VB,VivaAerobus,A,VB,VIV,,4
VC,Air Australia,I,VC,AGC,,3
VC*,Voyageur Airways,A,VC,VAL,,4
VD,Kun Peng Airlines,A,VD,KPA,,4
VE,CAI Second,A,VE,VLE,,4
VER,Almaver,A,,VER,,3
VES,Vieques Air Link,I,V4,VES,,4
VF,Valuair,I,VF,VLU,VF.gif,3
VH,Aeropostal,I,VH,LAV,VH.gif,3
VI,Volga-Dnepr,C,VI,VDA,VI.gif,3
VIB,Vibroair,I,,VIB,,4
VIM,Air Via,A,VL,VIM,,4
VIT,Aviastar Mandiri,I,MV,VIT,,4
VJ,Jatayu Airlines,I,VJ,,VJ.gif,4
VK,Virgin Nigeria,I,VK,VGN,,4
VM,Macair Jet,A,VM,,,3
VN,Vietnam Airlines,I,VN,HVN,VN.gif,3
VO,Tyrolean Airways,I,VO,TYR,,4
VP,VASP,I,VP,VSP,,4
VPB,Veteran Air,C,,VPB,,4
VQ,Viking Hellas Airlines,I,VQ,,,3
VR,TACV,I,VR,TCV,,3
VS,Virgin Atlantic Airways,I,VS,VIR,VS.gif,3
VSG,AirClass Airways,I,,VSG,,4
VSR,Aviostart,I,,VSR,,4
VT,Air Tahiti,I,VT,VTA,VT.gif,2
VTK,Vostok Airlines,I,,VTK,,4
VTM,Aeronaves TSM,C,,VTM,,4
VU,Air Ivoire,I,VU,VUN,,3
VUE,AD Aviation,I,,VUE,,4
VUR,Vuelos Internos Privados VIP S.A.,A,V6,VUR,,4
VV,Aerosvit Airlines,I,VV,AEW,,3
VW,Aeromar,I,VW,TAO,,3
VX,Virgin America,I,VX,VRD,VX.gif,2
VY,Vueling,I,VY,VLG,VY.gif,3
VZ,Velvet Sky,I,VZ,VEL,,4
W2,FlexFlight ApS,A,W2,,,4
W3,Arik Air,A,W3,ARA,,2
W3*,Flyhy Cargo Airlines,C,W3,,,4
W4,LC Busre,I,W4,,,3
W5,Mahan Airlines,A,W5,IRM,W5.gif,3
W6,Wizzair,A,W6,WZZ,W6.gif,3
W7,Sayakhat Airlines,I,W7,SAH,,4
W8,Cargojet Airways,C,W8,,W8.gif,3
W9,Sky Service,A,W9,,,3
W9*,Air Bagan,I,W9,,,4
WA,KLM Cityhopper,I,WA,KLC,WA.gif,4
WAE,Western Air Express,C,,WAE,WAE.gif,4
WAF,Air Flamenco,C,,WAF,,4
WB,Rwandair Express,I,WB,RWD,,3
WC,Islena Airlines,I,WC,ISV,,3
WD,Amsterdam Airlines,B,WD,AAN,,3
WDA,Wimbi Dira,I,9C,WDA,,3
WDL,WDL Aviation,A,,WDL,WDL.gif,4
WE,Centurion Air Cargo,C,WE,CWC,,4
WE*,Rheintalflug,I,WE,RTL,WE@.gif,4
WEW,West Wind Aviation,A,,WEW,,4
WF,Wideroe,I,WF,WIF,WF.gif,1
WG,Westex,A,WG,,,4
WH,WebJet,I,WH,WEB,,4
WHT,White Airways,B,,WHT,,2
WI,Tradewinds Airlines,C,WI,TDX,WI.gif,3
WIG,Wiggins Airways,C,,WIG,WIG.gif,4
WJ,Air Labrador,I,WJ,LAL,,2
WL,Aeroperlas,I,WL,APP,,3
WLG,Volga-Aviaexpress,I,G6,WLG,,4
WLX,West Air Luxembourg,C,,WLX,,4
WM,Winair,I,WM,WIA,WM.gif,2
WN,Southwest Airlines,I,WN,SWA,WN.gif,1
WO,World Airways,I,WO,WOA,WO.gif,4
WOW,Air Southwest,A,,,,3
WP,Island Air,I,WP,MKU,,3
WQ,ROMAVIA,I,WQ,RMV,,4
WR,Royal Tongan Airlines,I,WR,HRH,WR.gif,4
WS,WestJet,I,WS,WJA,WS.gif,1
WSG,Wasaya Airways,A,,WSG,WSG.gif,4
WT,Nigeria Airways,I,WT,NGA,WT.gif,4
WU,Wizz Air Ukraine,A,WU,WUA,,3
WV,Wings Air,I,WV,WAI,,3
WW,bmibaby,A,WW,BMI,,2
WX,Cityjet,I,WX,BCY,WX.gif,3
WY,Oman Air,I,WY,OAS,WY.gif,3
WZ,Red Wings Airlines,I,WZ,VAZ,,4
X3,TUIfly,A,X3,TUI,,2
X4,"Air Excursions, LLC",A,X4,,,3
X5,Afrique Airlines,I,X5,FBN,,4
X7*,Air Service,A,X7,,,4
X8,Icaro,I,X8,,X8.gif,3
X9,Avion Express,I,X9,,,4
XA,ARINC,J,XA,XAA,,4
XC,K.D. Air,A,XC,KDC,,3
XE,Expressjet,I,XE,BTA,XE.gif,4
XF,Vladivostok Air,I,XF,VLK,XF.gif,3
XG,SunExpress Deutschland,A,XG,,,4
XJ,Mesaba Aviation,I,XJ,MES,XJ.gif,4
XK,CCM,I,XK,CCM,,3
XL,Lan Ecuador,I,XL,,,3
XM,C.A.I. First,A,XM,SMX,,4
XM*,Australian Air Express,C,XM,XME,XM@.gif,3
XM1,J-Air,A,XM,,,4
XN,Xpressair,A,XN,XAR,XN.gif,4
XNA,Express.Net Airlines,C,,XNA,XNA.gif,4
XO,China Xinjiang Airlines,A,XO,CXJ,XO.gif,3
XP,Xtra Airways,A,XP,CXP,,4
XQ,SunExpress,I,XQ,SXS,,3
XR,Skywest Airlines,I,XR,OZW,XR.gif,3
XT,SkyStar,I,XT,SKT,,4
XU,African Express Airways,A,XU,,XU.gif,4
XV,Ivoire Airways,I,XV,,,4
XW,China Xinhua Airlines,I,XW,CXH,XW.gif,4
XXX,Airline,A,,,,5
XY,NAS AIR,I,XY,,,4
XZ,SA Express,A,XZ,EXY,,4
Y0,Yellow Airtaxi,I,Y0,,,4
Y2,Flyglobespan,I,Y2,GSM,,4
Y4,Volaris,A,Y4,VOI,,4
Y5,Pace Airlines,A,Y5,PCE,,4
Y6,Batavia Air,A,Y6,BTV,7P.gif,4
Y6*,Cambodia Airlines,A,Y6,,,4
Y8,Yangtze River Express,C,Y8,YZR,,3
Y8*,Aircompany Yakutia,A,Y8,,,4
Y9,Kish Airlines,I,Y9,IRK,Y9.gif,4
YA,Federation Air,I,YA,,,3
YB,South African Express Airways,A,YB,,YB.gif,4
YC,Yamal Airlines,I,YC,LLM,,3
YC*,Caverton Helicopters Ltd.,A,YC,,,4
YD,Mauritania Airways ,A,YD,,,4
YE,Yanda Airlines,A,YE,,,3
YG,South Airlines,A,YG,OTL,,3
YH,Yangon Airways,I,YH,,,3
YI,Air Sunshine,A,YI,RSI,YI.gif,3
YJ,AMC Airlines,A,YJ,,,4
YK,KTHY,I,YK,KYV,,3
YM,Montenegro Airlines,I,YM,MGX,YM.gif,3
YN,Air Creebec,I,YN,CRQ,YN.gif,3
YO,Heli Air Monaco,I,YO,MCM,,3
YP,Aero Lloyd,A,YP,AEF,YP.gif,4
YQ,Aircompany Polet,I,YQ,,,3
YR,Scenic Airlines,I,YR,EGJ,,3
YS,Regional Compagnie Aerienne Europeene,I,YS,RAE,YS.gif,4
YT,Yeti Airlines,A,YT,,,3
YU,Dominair,I,YU,ADM,,4
YV,Mesa Airlines,I,YV,ASH,YV.gif,3
YW,Air Nostrum,I,YW,ANE,YW.gif,4
YX,Republic Airlines,I,YX,RPA,,2
YZ,Holland Exel,I,YZ,,,4
Z2,Zest Airways,I,Z2,RIT,,3
Z3,PM Air LLC,A,Z3,,,3
Z4,Zoom Airlines,I,Z4,OOM,Z4.gif,3
Z5,GMG Airlines,I,Z5,,Z5.gif,3
Z6,Dniproavia,I,Z6,UDN,Z6.gif,3
Z7,Avia Traffic Company,I,Z7,AVJ,,4
Z8,Mali Airways,A,Z8,,,3
Z8*,Amaszonas,I,Z8,,,4
ZA,Interavia Airlines,I,ZA,,,4
ZB,Monarch Airlines,I,ZB,MON,ZB.gif,3
ZC,Royal Swazi National Airways,I,ZC,RSN,ZC.gif,4
ZD,Dolphin Air,I,ZD,,ZD.gif,4
ZE,Eastar Jet,A,ZE,ESR,,3
ZF,Athens Airways,I,ZF,ATW,,4
ZF*,Atlantic Airlines,A,ZF,,ZF@.gif,4
ZG,Viva Macau,B,ZG,VVM,,3
ZH,Shenzhen Airlines,I,ZH,CSZ,ZH.gif,3
ZI,Aigle Azur,I,ZI,AAF,ZI.gif,3
ZJ,Zambezi Airways,A,ZJ,ZMA,,4
ZK,Great Lakes Aviation,I,ZK,GLA,ZK.gif,2
ZL,Regional Express,I,ZL,HZL,ZL.gif,2
ZM*,Cityline Hungary,C,ZM,CNB,,4
ZN,NAYSA,I,ZN,NAY,,4
ZO,Great Plains Airlines,I,ZO,OZR,ZO.gif,4
ZP,Air St. Thomas,A,ZP,STT,,3
ZP*,Silk Way Airlines,C,ZP,,,4
ZQ,Caribbean Sun Airlines,I,ZQ,,,3
ZR*,Aviacon Zitotrans,C,ZR,AZS,,4
ZS,Sama Airlines,I,ZS,SMY,,4
ZT,Air Zambezi,A,ZT,,,3
ZU,Air Bashkortostan,I,ZU,BBT,,3
ZV,Air Midwest,I,ZV,AMW,,4
ZW,Air Wisconsin Airlines,I,ZW,AWI,ZW.gif,4
ZX,Air Georgian,A,ZX,GGN,ZX.gif,4
ZX*,EVAS,A,ZX,,,4
ZY,Eznis Airways,I,ZY,EZA,,3
