AIRLINE_CODE,NAME,CARRIER_CATEGORY,CARRIER_IATA_CODE,CARRIER_ICAO_CODE,LOGO,CLASSIFICATION
BX,Air Busan,A,BX,ABL,,3
BXI,Brussels International Airlines,A,,BXI,,4
BZ,Keystone Air,A,BZ,KEE,BZ.gif,3
BZ*,Blue Dart Aviation,C,BZ,BDA,,4
C0,Centralwings,A,C0,CLW,,4
C3,Contact Air,I,C3,KIS,,4
C4,ALMA de Mexico,A,C4,MSO,,4
C5,CommutAir,I,C5,UCA,,4
C6,Canjet Airlines,A,C6,CJA,C6.gif,3
C7,Rico Linhas Aereas,A,C7,RLE,C7.gif,4
C8,Cargolux Italia,C,C8,,,4
C8*,Cronos Airlines,A,C8,CRA,,4
C9,Cirrus Airlines,A,C9,RUS,C9.gif,3
C9*,CLA Air Transport,C,C9,,,4
CA,Air China International,I,CA,CCA,CA.gif,1
CAC,Camair-Co,I,QC,UYC,,4
CAD,PT Cardig Air,C,8F,CAD,,4
CAE,Colibri Aviation,J,,CAE,,4
CAI,Corendon Airlines,I,,CAI,,4
CB,ScotAirways,A,CB,SAY,CB.gif,3
CC,Air Atlanta Icelandic,J,CC,ABD,CC.gif,4
CC*,Macair Airlines,A,CC,,CC@.gif,3
CCG,Czech Connect,I,CQ,CCG,,4
CCI,Capital Cargo International Airlines,C,PT,CCI,PT.gif,4
CCQ,"Capital City Air Carriers, Inc.",I,,CCQ,,4
CD,Air India Regional,I,CD,LLR,CD.gif,4
CF,City Airline,I,CF,SDR,CF.gif,3
CFA,China Flying Dragon Aviation Co.,I,,CFA,,4
CG,Airlines of Papua New Guinea,I,CG,,,2
CGD,"Charlotte, NC Air National Guard",B,,CGD,,4
CGH,Air Guizhou,I,,CGH,,4
CGL,Seagle Air,C,,CGL,,4
CGT,"CNG-Transavia, Joint-Stock Company",I,,CGT,,4
CH,Bemidji Airlines,I,CH,BMJ,CH.gif,3
CHI,Cougar Helicopters,C,,CHI,,4
CI,China Airlines,I,CI,CAL,CI.gif,2
CJ,BA CityFlyer,I,CJ,,,4
CK,China Cargo,C,CK,CKK,,3
CKL,Aviation Charter Services,C,,CKL,,4
CL,Lufthansa Cityline,I,CL,CLH,CL.gif,4
CLS,Challenge Air,I,,CLS,,4
CLU,Triple Alpha,I,,CLU,,4
CM,Copa Airlines,I,CM,CMP,CM.gif,3
CME,Prince Edward Air,C,,CME,,4
CMV,Calima Aviation,A,,CMV,,3
CN,Grand China Air,I,CN,GDC,,4
CNK,Sunwest Home Aviation,I,,CNK,,4
CO,Continental Airlines,I,CO,COA,CO.gif,1
CON,Continental Oil,A,,CON,,4
CP,Compass Airlines,A,CP,CPZ,,3
CPH,Champagne Airlines,I,,CPH,,4
CPT,Corporate Air,C,,CPT,CPT.gif,4
CQ,Sunshine Express Airlines,A,CQ,,CQ.gif,3
CQN,Chongqing Airlines,I,OQ,CQN,,4
CS,Continental Micronesia,I,CS,CMI,,4
CSJ,Castle Air,C,,CSJ,,4
CT,Air One CityLiner,I,CT,CYL,,4
CTA,Aero Charter and Transport,I,,CTA,CTA.gif,4
CU,Cubana de Aviacion,I,CU,CUB,CU.gif,3
CUT,Court Air,C,,CUT,,4
CV,Cargolux Airlines International,C,CV,CLX,CV.gif,2
CV*,Air Chathams,A,CV,CVA,,3
CW,Air Marshall Islands,I,CW,MRS,CW.gif,2
CWU,Wuhan Air Lines,C,,CWU,,4
CX,Cathay Pacific Airways,I,CX,CPA,CX.gif,1
CY,Cyprus Airways,I,CY,CYP,CY.gif,2
CYZ,China Postal Airlines,D,,CYZ,,4
CZ,China Southern,I,CZ,CSN,CZ.gif,1
D0,DHL Air Limited,D,D0,DHK,D0.gif,4
D1,Direct Air,A,D1,,,4
D2,Severstal Aircompany,A,D2,,,3
D3,Daallo Airlines,I,D3,DAO,,3
D4,Alidaunia,A,D4,LID,,4
D5,DHL Aero Expreso,C,D5,DAE,,4
D6,Interair South Africa,I,D6,INL,D6.gif,3
D7,AirAsia X,I,D7,XAX,,3
D8,Djibouti Airlines,A,D8,DJB,,3
D9,Aeroflot - Don,I,D9,DNV,D9.gif,3
DAG,Daghestan Airlines,I,N2,,,4
DB,Brit Air,I,DB,BZH,DB.gif,4
DC,Golden Air,A,DC,GAO,,3
DCS,Daimler Chrysler Aviation,I,,DCS,,4
DD,Nok Air,A,DD,NOK,,3
DE,Condor,I,DE,CFG,DE.gif,1
DF,AeBal,I,DF,ABH,,4
DG,South East Asian Airlines,A,DG,,,3
DGX,Dasnair,I,,DGX,,4
DH,Independence Air,I,DH,IDE,DH.gif,2
DHC,De Havilland,I,,DHC,,4
DI,dba,I,DI,BAG,,2
DJ,Virgin Australia,I,DJ,VOZ,DJ.gif,2
DK,Thomas Cook DK,A,DK,VKG,,4
DKT,Sioux Falls Aviation,I,,DKT,,4
DL,Delta Air Lines,I,DL,DAL,DL.gif,1
DN,Deccan,A,DN,DKN,,3
DO,Air Vallee,A,DO,RVL,DO.gif,3
DP,First Choice Airways,I,DP,FCA,DP.gif,3
DQ,Coastal Air,I,DQ,CXT,,3
DR,Air Link,A,DR,,,3
DS,Easyjet Switzerland,A,DS,EZS,DS.gif,3
DT,TAAG,I,DT,DTA,,3
DU,Hemus Air,I,DU,HMS,,3
DUB,Dubai Air Wing,I,,DUB,DUB.gif,4
DV,Air Company SCAT,I,DV,VSV,,3
DW,Aero-Charter,I,DW,UCR,,3
DWT,Darwin Airline,I,0D,DWT,,4
DX,Danish Air,I,DX,DTR,DX.gif,3
DY,Norwegian Air Shuttle,I,DY,NAX,,2
DYE,Dynamic Air,I,,DYE,,4
DZ,Transcaraibes Air International,A,DZ,NOE,,4
E0,Eos,A,E0,ESS,,3
E2,Kampuchea Airlines,I,E2,,,4
E2*,Rio Grande Air,I,E2,GRN,E2.gif,4
E3,Domodedovo Airlines,I,E3,DMO,E3.gif,3
E4,Elysian Airlines,I,E4,GIE,,3
E5,Samara Airlines,I,E5,BRZ,E5.gif,3
E6,AviaExpressCruise Airlines,A,E6,AEQ,,4
E7,Fly European,B,E7,,,3
E7*,Estafeta,C,E7,,E7@.gif,4
E8,JSC Semeyavia,I,E8,ELG,,3
E9,Pan Am Clipper Connection,A,E9,,E9.gif,3
EA,Andalus,A,EA,ANU,,3
EAA,Kyrgyz Airways,I,KR,EAA,,4
EAF,Palmair,I,,EAF,,4
EAG,Eagle Airways,A,,EAG,,4
EB,Pullmantur Air,I,EB,,,3
EBF,MSR Flug Charter,I,,EBF,,4
EC,OpenSkies,I,EC,BOS,,3
ED,Air Dominicana,I,ED,,,3
EDW,Edelweiss Air,I,WK,EDW,,3
EE,Aero Airlines,I,EE,,EE.gif,4
EF,Far Eastern Air,I,EF,FEA,EF.gif,3
EG,Japan Asia Airways,I,EG,JAA,,3
EGN,Eagle Aviation France,I,,EGN,,4
EGS,Eagles Airlines,I,E3,EGS,,4
EH,ANA Wings,A,EH,AKX,,4
EI,Aer Lingus,I,EI,EIN,EI.gif,2
EJ,New England Airlines,A,EJ,NEA,EJ.gif,3
EJM,Executive Jet Management,A,,EJM,,4
EK,Emirates,I,EK,UAE,EK.gif,2
EL,Air Nippon,I,EL,ANK,EL.gif,3
EM,Empire Airlines,C,EM,CFS,,4
EM*,Aero Benin,A,EM,,,3
EN,Air Dolomiti,I,EN,DLA,,3
EO,Hewa Bora Airways,I,EO,ALX,,3
EP,Iran Aseman Airlines,I,EP,IRC,,3
EPA,Shenzhen Donghai Airlines,C,J5,EPA,,4
EPS,"Epps Air Service, Inc.",A,,EPS,,4
EQ,Tame Linea Aerea,I,EQ,TAE,,3
ER,Astar Air Cargo,C,ER,DHL,ER.gif,4
ERA,EUROMMANDER,A,,ERA,,4
ERL,Express Rail LInk,K,5Y,,,4
ES*,DHL International,C,ES,DHX,,4
ET,Ethiopian Airlines,I,ET,ETH,ET.gif,2
ETJ,East Air,I,EG,ETJ,,4
EU,Chengdu Airlines,I,EU,UEA,,3
EUK,Air Atlanta Europe,I,5A,EUK,EUK.gif,4
EV,Atlantic Southeast Airlines,I,EV,ASQ,EV.gif,4
EW,Eurowings,I,EW,EWG,EW.gif,4
EX,Air Santo Domingo,I,EX,SDO,,3
EXL,Exclusive Air,A,,EXL,,4
